ZamsT,ZamsL,TamsT,TamsL,08T,08L,1T,1L,1.2T,1.2L,1.4T,1.4L,1.6T,1.6L,1.8T,1.8L,2T,2L,2.2T,2.2L,2.5T,2.5L,3T,3L,4T,4L,4.5T,4.5L
3.558,-2.401,3.729,-0.217,3.557,3.335,3.568,3.325,3.579,3.319,3.589,3.311,3.609,3.172,3.624,3.092,3.62,3.212,3.613,3.354,3.599,3.62,3.584,3.935,3.581,4.211,3.586,4.257
3.586,-2.1,3.754,-0.002,3.676,1.541,3.678,1.699,3.682,1.824,3.683,1.948,3.681,2.105,3.67,2.382,3.672,2.44,3.678,2.451,3.68,2.536,3.677,2.747,3.664,3.159,3.658,3.342
3.599,-1.907,3.774,0.191,3.678,1.512,3.682,1.635,3.687,1.76,3.687,1.89,3.691,1.939,3.696,2.081,3.7,2.118,3.702,2.17,3.701,2.306,3.697,2.551,3.686,2.985,3.681,3.163
3.609,-1.755,3.792,0.365,3.728,0.348,3.734,0.618,3.737,0.81,3.738,0.983,3.74,1.188,3.723,1.538,3.726,1.646,3.729,1.753,3.726,1.942,3.718,2.276,3.712,2.698,3.689,3.076
3.617,-1.629,3.808,0.521,3.774,0.191,3.808,0.521,3.842,0.841,3.882,1.128,3.92,1.394,3.738,1.366,3.739,1.528,3.736,1.673,3.734,1.882,3.726,2.19,4.042,2.908,3.706,2.904
3.622,-1.484,3.824,0.676,3.776,0.081,3.815,0.353,3.853,0.82,3.889,1.15,3.922,1.402,3.874,1.585,3.899,1.758,3.921,1.913,4.047,2.131,4.096,2.419,4.172,2.872,4.202,3.059
3.629,-1.372,3.842,0.841,3.742,-0.39,3.801,0.071,3.832,0.726,3.839,1.03,3.862,1.278,3.953,1.594,3.983,1.769,4.01,1.923,4.047,2.138,4.097,2.427,4.174,2.88,4.204,3.067
3.638,-1.243,3.861,0.998,,,,,3.858,0.601,3.917,0.838,3.969,1.03,3.893,1.48,3.923,1.659,3.95,1.817,3.987,2.032,4.04,2.332,4.121,2.801,4.152,2.993
3.649,-1.102,3.882,1.128,,,,,3.85,0.448,3.913,0.751,3.97,1,4.014,1.212,4.05,1.391,4.08,1.543,4.118,1.746,4.167,2.028,4.239,2.461,4.266,2.625
3.662,-0.959,3.901,1.284,,,,,,,,,,,,,,,,,,,,,,,,
3.701,-0.662,3.92,1.394,,,,,,,,,,,,,,,,,,,,,,,,
3.742,-0.39,3.937,1.498,,,,,,,,,,,,,,,,,,,,,,,,
3.775,-0.152,3.953,1.594,,,,,,,,,,,,,,,,,,,,,,,,
3.801,0.071,3.969,1.684,,,,,,,,,,,,,,,,,,,,,,,,
3.826,0.272,3.983,1.769,,,,,,,,,,,,,,,,,,,,,,,,
3.85,0.448,4.01,1.923,,,,,,,,,,,,,,,,,,,,,,,,
3.881,0.608,4.047,2.131,,,,,,,,,,,,,,,,,,,,,,,,
3.913,0.751,4.096,2.419,,,,,,,,,,,,,,,,,,,,,,,,
3.942,0.879,4.137,2.663,,,,,,,,,,,,,,,,,,,,,,,,
3.97,1,4.172,2.872,,,,,,,,,,,,,,,,,,,,,,,,
3.994,1.111,4.202,3.059,,,,,,,,,,,,,,,,,,,,,,,,
4.014,1.212,4.227,3.227,,,,,,,,,,,,,,,,,,,,,,,,
4.033,1.302,4.269,3.517,,,,,,,,,,,,,,,,,,,,,,,,
4.05,1.391,4.303,3.756,,,,,,,,,,,,,,,,,,,,,,,,
4.08,1.543,,,,,,,,,,,,,,,,,,,,,,,,,,
4.118,1.746,,,,,,,,,,,,,,,,,,,,,,,,,,
4.167,2.028,,,,,,,,,,,,,,,,,,,,,,,,,,
4.206,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,
4.239,2.461,,,,,,,,,,,,,,,,,,,,,,,,,,
4.266,2.625,,,,,,,,,,,,,,,,,,,,,,,,,,
4.291,2.774,,,,,,,,,,,,,,,,,,,,,,,,,,
4.331,3.031,,,,,,,,,,,,,,,,,,,,,,,,,,
4.366,3.249,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
